name,city,district_area,address,latitude,longitude,phone,rating,rating_count,google_place_id,opens,closes,is_24h,ps_focus_level,notes
Playstation Lounge - Game Room,Tbilisi,Saburtalo,"Kazbegi 20, Tbilisi 0160",41.7244388,44.7504116,+995 551 52 91 82,4.7,35,ChIJrxNr-YxzREARBfnzQcrq_WU,12:00,02:00,false,high,Racing wheels; pslounge.ge
PlayStation Portal,Tbilisi,Saburtalo,"49 Sulkhan Tsintsadze St, Tbilisi",41.7216915,44.766028,+995 599 32 32 71,4.9,58,ChIJ2xhbdABzREAR8xdC2n1JjZo,15:00,03:00,false,high,Large monitors; budget-friendly
Game Lounge,Tbilisi,Saburtalo,"4 Simon Chikovani St, Tbilisi 0171",41.7151936,44.7768271,+995 555 20 14 14,4.4,445,ChIJWYsSyitzREARCRdX2jDWFz0,00:00,23:59,true,mixed,Big PC + PS5 mix; VIP rooms with slushies
Game Lounge Dinamo,Tbilisi,Dinamo/Saburtalo,"2 David Kipiani St, Tbilisi 0119",41.7245556,44.7856931,+995 500 12 12 88,5.0,18,ChIJ1WjSa3FzREARPARww5UJGYw,13:00,02:00,false,mixed,
Game Time - PlayStation Club,Tbilisi,Vera,"12 Saint Petersburg Street, Tbilisi",41.7078691,44.7960019,+995 599 00 48 59,4.3,67,ChIJZXkF7z4NREAR3BLERFMoPVU,12:00,01:00,false,high,Latest games & consoles; no VIP room
Squid Game Lounge,Tbilisi,Saburtalo,"80 Petre Kavtaradze St, Tbilisi 0162",41.7195635,44.7179364,+995 511 12 09 40,4.9,29,ChIJTWLkpf5zREARfjUMkMN6uGU,10:30,05:00,false,high,Reputation for best VIP rooms
Play House,Tbilisi,Nutsubidze,"183/185/187 Shalva Nutsubidze St, Tbilisi",41.7263017,44.7245709,+995 599 11 24 17,4.6,43,ChIJiSOYTwpzREAR4XW8OJzp5PM,14:00,02:00,false,high,6 PS5 + large VIP room; opening hours unreliable
Playstation House,Tbilisi,Nutsubidze Plato,"18 Nutsubidze Plato 4th Mkr, Tbilisi",41.7340885,44.7220033,,5.0,1,ChIJx2g4IgBzREARZaMpR-p81Bo,,,,high,Very small footprint
Room 33 - PlayStation Club,Tbilisi,Isani/Navtlughi,"33 Navtlughi St, Tbilisi 0144",41.6819625,44.8389951,+995 579 66 63 33,4.6,9,ChIJ3X5xgSUNREARIWVcjRTLhvM,13:00,03:00,false,high,linktr.ee/room33profiles
playstation isani,Tbilisi,Isani,"N 1 Vladimer Lobjanidze St, Tbilisi",41.6840822,44.8408045,+995 593 66 50 33,5.0,1,ChIJge_QfloNREARTYBwD3RgXhI,,,,high,Small/new listing
Game City,Tbilisi,Saburtalo,"7 Bakhtrioni St, Tbilisi 0171",41.7213233,44.7733114,+995 597 70 60 30,4.4,14,ChIJL7ldKGhzREARo74KN65OSxc,11:00,03:00,false,high,VIP room + PS5; FIFA/2K
Game Station,Tbilisi,Saburtalo,"7 Bakhtrioni St, Tbilisi",41.7214413,44.7732546,+995 597 23 58 14,4.8,28,ChIJmduJFthyREARb4JxBOCWFLQ,10:00,03:00,false,high,Same address as Game City - verify if same business
NEON,Tbilisi,Saburtalo,"Bld. 4 1 Merab Aleksidze St, Tbilisi 0160",41.7176568,44.7814816,+995 551 39 43 94,4.5,62,ChIJi0__SnFzREARfiqUcISUX7s,12:00,03:00,false,high,Dedicated PS room
Under City (Sport & Gaming Bar),Tbilisi,Vera,"23 Merab Kostava St, Tbilisi",41.7062834,44.7876505,+995 551 02 99 33,4.5,21,ChIJAUHSMFcNREARC2bH-WOij_g,12:00,03:00,false,mixed,Sports bar + PS5 combo
Game World,Tbilisi,Saburtalo,"1 Sofrom Mgaloblishvili St, Tbilisi 0186",41.7325254,44.7673364,+995 555 12 35 53,4.5,69,ChIJIxEva-ZyREARdjNrqE6cTOk,14:00,00:00,false,high,Best sim-racing setup + PS5
Swaggy,Tbilisi,Vake,"V. Barnovi St 83, Tbilisi 0179",41.7073444,44.7756362,+995 599 01 21 23,4.8,41,ChIJWeX_7C8NREARKH6SPpPW_yc,00:00,23:59,true,mixed,Gaming room above burger restaurant; sim rigs
